"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"15","373.3232291524637","261.1844389211141","4.6534232003187315","-0.3123903340927562","0.028564453125","0.038818359375","0.018310546875","1600","0.0010078683321657468","60","0","0.0010078683321657468","0.0010078683321657468","4:0.03517916429225365;22:0.006267425361705714","4:660;22:660","0.028564453125","Yes"
"16","294.0927418446691","141.42674650320214","4.605623991404479","-0.3113554066882175","0.027587890625","0.0302734375","0.02490234375","1600","0.0018680286733980033","60","0","0.0018680286733980033","0.0018680286733980033","","","0.027587890625","Yes"
"17","268.7036799487532","185.8730711129148","4.896402574702242","-0.3069253529005603","0.0185546875","0.01513671875","0.02197265625","1600","0.00024079162618520207","60","0","0.00024079162618520207","0.00024079162618520207","","","0.0185546875","Yes"
"18","320.0431239605502","289.2961040232481","4.861790072760451","-0.3088715365068852","0.0606689453125","0.05859375","0.062744140625","1600","0.00029652978720279424","60","0","0.00029652978720279424","0.00029652978720279424","19:0.029544401735067782","19:372","0.0606689453125","Yes"
"19","287.8574651701414","114.70373129175938","4.613256053897426","-0.31243870301434334","0.0306396484375","0.021484375","0.0400390625","1600","0.00014850567219334637","60","0","0.00014850567219334637","0.00014850567219334637","20:0.01935914938816921","20:660","0.0306396484375","Yes"
"20","310.4247156534975","87.1234906756255","4.850448077866","-0.30788100126352075","0.055419921875","0.0546875","0.05615234375","1600","0.00024863342513035193","60","0","0.00024863342513035193","0.00024863342513035193","21:0.004453838117281755","21:660","0.055419921875","Yes"
"21","254.37616467108384","173.58843258103911","4.677896355780076","-0.3101214218703803","0.030517578125","0.026611328125","0.034423828125","1600","0.00017597125174923073","60","0","0.00017597125174923073","0.00017597125174923073","22:0.0031883301998443525","22:660","0.030517578125","Yes"
"22","431.6335942354182","353.45982607507676","4.736896782646184","-0.3122176733536358","0.0162353515625","0.015625","0.016845703125","1600","0.00015791262989553904","60","0","0.00015791262989553904","0.00015791262989553904","","","0.0162353515625","Yes"
"23","560.0782426525902","174.53105464071595","4.651196467532564","","0.0289306640625","0.032958984375","0.02490234375","1600","0.0003052157281761578","60","0","0.0003052157281761578","0.0003052157281761578","22:0.012100311437442751;24:0.012499555772092164","22:660;24:660","0.0289306640625","Yes"
"24","392.0709461901481","35.94287126787557","4.856169131923248","-0.3079346223460502","0.0223388671875","0.017578125","0.027099609375","1600","0.00017772057295167276","60","0","0.00017772057295167276","0.00017772057295167276","","","0.0223388671875","Yes"
"25","168.0083007377219","13.406912028424463","4.710355451710754","-0.2848927503604122","0.0830078125","0.092529296875","0.073486328125","1600","0.005557265719748261","60","0","0.005557265719748261","0.005557265719748261","24:0.015642790917518218;26:0.016193153856903703","24:660;26:660","0.0830078125","Yes"
"26","177.06226325019333","99.72723511471813","4.756959885507255","-0.31000973903762974","0.022705078125","0.016357421875","0.029052734375","1600","0.0008494807586196389","60","0","0.0008494807586196389","0.0008494807586196389","16:0.015272578211857124;27:0.007160654428745139","16:660;27:660","0.022705078125","Yes"
"27","428.71472740233924","37.79661692128991","4.7971637437252355","-0.31968596136192556","0.040771484375","0.047607421875","0.033935546875","1600","0.0004645564090545357","60","0","0.0004645564090545357","0.0004645564090545357","","","0.040771484375","Yes"
"28","100.02097249097649","19.83764966818739","4.6651743575943385","-0.3106841533411735","0.044921875","0.048095703125","0.041748046875","1600","0.0018080788706517996","60","0","0.0018080788706517996","0.0018080788706517996","27:0.01278085162561432;35:0.0123989565837897","27:660;35:660","0.044921875","Yes"
"29","168.77926240542905","154.14297839163837","4.717147472757534","-0.30977802445004876","0.0277099609375","0.02099609375","0.034423828125","1600","0.00018755864360356917","60","0","0.00018755864360356917","0.00018755864360356917","28:0.007345582283931562;30:0.004577914165544872","28:660;30:660","0.0277099609375","Yes"
"30","297.30443104679875","31.71117683307506","4.796568185301325","-0.30977891218255116","0.0965576171875","0.08544921875","0.107666015625","1600","0.0002114584583212534","60","0","0.0002114584583212534","0.0002114584583212534","31:0.004776646637372761;17:0.005042507772105603","31:660;17:660","0.0965576171875","Yes"
"31","191.9387487732571","171.76428036490904","4.9076837152259785","-0.30756583534654586","0.018798828125","0.015625","0.02197265625","1600","0.0002699697071511165","60","0","0.0002699697071511165","0.0002699697071511165","32:0.006741835461144596","32:660","0.018798828125","Yes"
"32","195.6155577497622","175.18308975125564","5.008963132706225","-0.30520156901294854","0.01708984375","0.010498046875","0.023681640625","1600","0.0003674522050186489","60","0","0.0003674522050186489","0.0003674522050186489","","","0.01708984375","Yes"
"33","436.19274889597074","102.806159730337","4.7975837568792095","-0.3085355870243786","0.0250244140625","0.01611328125","0.033935546875","1600","0.0002022600232871512","60","0","0.0002022600232871512","0.0002022600232871512","20:0.07174775094724822","20:660","0.0250244140625","Yes"
"34","330.1130247388201","168.04332678724768","4.687598054946186","-0.31139369332021377","0.05078125","0.039306640625","0.062255859375","1600","0.0002936437411055364","60","0","0.0002936437411055364","0.0002936437411055364","43:0.007023845690764363;24:0.012891272153414624","43:660;24:660","0.05078125","Yes"
"35","234.61777032250336","23.434492583381314","4.8859521053683945","-0.3078655696247972","0.06298828125","0.04931640625","0.07666015625","1600","0.0002871466588327027","60","0","0.0002871466588327027","0.0002871466588327027","","","0.06298828125","Yes"
"36","339.93111341076974","172.85490058229928","4.948658921325529","-0.30596797313866086","0.0145263671875","0.0087890625","0.019287109375","1600","0.00018765598497301106","60","0","0.00018765598497301106","0.00018765598497301106","51:0.0053732281231171075;32:0.006654076138538051","51:660;32:660","0.0145263671875","Yes"
"37","306.9833152306793","15.91119269118384","4.534893576977589","-0.29177040681340605","0.0540771484375","0.044189453125","0.06396484375","1600","0.001150642533994628","60","0","0.001150642533994628","0.001150642533994628","52:0.020680290824803077","52:660","0.0540771484375","Yes"
"38","325.29275780305505","133.4177504800789","4.715479756209045","-0.30986057752009377","0.022216796875","0.02587890625","0.0185546875","1600","0.0003850900718047868","60","0","0.0003850900718047868","0.0003850900718047868","39:0.02070568455062477;37:0.017606438645504402","39:660;37:660","0.022216796875","Yes"
"39","181.37249763404648","14.305574432844958","4.624032037958186","-0.28585001719002234","0.0673828125","0.06005859375","0.07470703125","1600","0.000930273100535718","60","0","0.000930273100535718","0.000930273100535718","33:0.018720505785787822;40:0.029387884477149878","33:660;40:660","0.0673828125","Yes"
"40","260.89644116633","101.13906557489204","4.8163862057698745","-0.3091327061151583","0.018798828125","0.010986328125","0.026611328125","1600","0.00022461526022190734","60","0","0.00022461526022190734","0.00022461526022190734","41:0.005505619966479747","41:660","0.018798828125","Yes"
"41","311.00681365921565","288.34743872094316","4.677866075452153","-0.3108507756100702","0.034423828125","0.016845703125","0.052001953125","1600","0.00014053637981300572","60","0","0.00014053637981300572","0.00014053637981300572","","","0.034423828125","Yes"
"42","202.61753847365407","195.74716206009472","4.80256682802998","-0.3092111902397467","0.016357421875","0.0146484375","0.01806640625","1600","0.0001896161681902914","60","0","0.0001896161681902914","0.0001896161681902914","41:0.0044735268464143885;43:0.004963088174628205","41:660;43:660","0.016357421875","Yes"
"43","314.8394865537597","207.4089009819732","4.923148139258181","-0.3078613125382503","0.015380859375","0.010009765625","0.020751953125","1600","0.0001399451664088274","60","0","0.0001399451664088274","0.0001399451664088274","","","0.015380859375","Yes"
