"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"31","256.82281705521353","134.64407093451734","0.005126953125","0.007568359375","0.002685546875","2584","0.000143773950783631","32","0.000143773950783631","0","0.000143773950783631","0.000143773950783631","30:0.0016083332802246941;32:0.001435485776098755;18:0.001386255277581877","30:68;32:68;18:68","30:0.0018651637270355736;32:0.001828712325799814;18:0.0018537651382350695","0.005126953125","Yes"
"32","174.12110741160353","209.12167270979754","0.004150390625","0.006103515625","0.002197265625","2584","0.0001988850077910804","32","0.0001988850077910804","0","0.0001988850077910804","0.0001988850077910804","31:0.001435485776098755;33:0.0015887191774290876","31:68;33:68","31:0.001828712325799814;33:0.0015856609967463964","0.004150390625","Yes"
"33","227.13649016773942","254.147372120123","0.0069580078125","0.00634765625","0.007568359375","2584","0.00012972677407374744","32","0.00012972677407374744","0","0.00012972677407374744","0.00012972677407374744","39:0.0030216383261574553;32:0.0015887191774290876;34:0.001279348304171507","39:68;32:68;34:68","39:0.001988323470541953;32:0.0015856609967463964;34:0.0019071014022875865","0.0069580078125","Yes"
"34","223.09887069395717","343.51693486602","0.0052490234375","0.0048828125","0.005615234375","2584","0.0002559046013247343","32","0.0002559046013247343","0","0.0002559046013247343","0.0002559046013247343","33:0.001279348304171507;35:0.022470732113650527","33:68;35:80","33:0.0019071014022875865","0.0052490234375","Yes"
"35","70.79338036867375","76.32906012397765","0.1685791015625","0.298583984375","0.03857421875","2584","","32","","0","","","34:0.022470732113650527","19:68;34:80","","0.1685791015625","Yes"
"36","196.45294320687623","242.93047925967554","0.0086669921875","0.010498046875","0.0068359375","2584","0.00015164869381125795","32","0.00015164869381125795","0","0.00015164869381125795","0.00015164869381125795","41:0.0012863982811437968;21:0.0012048923979974258","41:68;21:68","41:0.0010762634287860562;21:0.0017976770723301672","0.0086669921875","Yes"
"37","225.9051955509473","238.99805563984546","0.00341796875","0.004638671875","0.002197265625","2584","0.00022097722391971013","32","0.00022097722391971013","0","0.00022097722391971013","0.00022097722391971013","45:0.0012532049368849107;25:0.0052895956460448645","45:68;25:68","45:0.0016686942521284553;25:0.004798569973129635","0.00341796875","Yes"
"38","229.7022966274569","139.70124369720216","0.005126953125","0.00634765625","0.00390625","2584","0.00016555758502437022","32","0.00016555758502437022","0","0.00016555758502437022","0.00016555758502437022","29:0.0020522893675524734;49:0.0011319832527488527","29:68;49:68","29:0.0016506287110829299;49:0.0012262091615429238","0.005126953125","Yes"
"39","199.19662811874412","324.046495410018","0.009033203125","0.012451171875","0.005615234375","2584","0.00042740706536204014","32","0.00042740706536204014","0","0.00042740706536204014","0.00042740706536204014","53:0.002359209301695475;33:0.0030216383261574553","53:68;33:68","53:0.0013096307040953992;33:0.001988323470541953","0.009033203125","Yes"
"40","211.0870409217071","319.24624615762656","0.0068359375","0.004638671875","0.009033203125","2584","0.00009980622169748518","32","0.00009980622169748518","0","0.00009980622169748518","0.00009980622169748518","41:0.0009974039638393495","41:68","41:0.001027927293233033","0.0068359375","Yes"
