"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"27","348.8360798750319","87.02682349383315","4.801537462757642","","0.0103759765625","0.012939453125","0.0078125","1500","0.0005593244593256955","60","0","0.0005593244593256955","0.0005593244593256955","26:0.007837504200407491","26:660","0.0103759765625","Yes"
"28","109.34005716469784","87.87743823161118","4.902069637022815","-0.30821614899288385","0.2281494140625","0.330810546875","0.12548828125","1500","0.0003597400780792684","60","0","0.0003597400780792684","0.0003597400780792684","27:0.009544583197480916;29:0.01375720850162726;35:0.006996165283883082","27:660;29:660;35:660","0.2281494140625","Yes"
"29","492.38055838178076","30.48401564192835","4.636177708785939","-0.33701505913579904","0.040283203125","0.029296875","0.05126953125","1500","0.00043419280275082764","60","0","0.00043419280275082764","0.00043419280275082764","","","0.040283203125","Yes"
"30","149.77056385375494","84.62916559062614","4.563467782962009","-0.3144896289789751","0.0213623046875","0.021240234375","0.021484375","1500","0.00019001759638890395","60","0","0.00019001759638890395","0.00019001759638890395","29:0.010492293005039538","29:660","0.0213623046875","Yes"
"31","437.1442140465635","127.6929744182205","4.792811933779543","-0.3101493841831437","0.0120849609375","0.013916015625","0.01025390625","1500","0.00016376998636296008","60","0","0.00016376998636296008","0.00016376998636296008","30:0.00556171074827283","30:660","0.0120849609375","Yes"
"32","306.1033066829247","148.4279761297873","4.73620289030084","-0.31010307966828876","0.0205078125","0.0166015625","0.0244140625","1500","0.00015704800267997264","60","0","0.00015704800267997264","0.00015704800267997264","36:0.006161456471676735;31:0.005466091554979818","36:660;31:660","0.0205078125","Yes"
"33","200.50884035317299","28.290295128449014","4.849731018012809","-0.30883841066123774","0.0328369140625","0.03369140625","0.031982421875","1500","0.0002133076087929164","60","0","0.0002133076087929164","0.0002133076087929164","20:0.010540095791359533;39:0.007793205341331683","20:660;39:660","0.0328369140625","Yes"
"34","294.4407716661637","217.68506717281954","4.790117123714482","-0.309504945970127","0.0091552734375","0.009033203125","0.00927734375","1500","0.00014515432993128402","60","0","0.00014515432993128402","0.00014515432993128402","24:0.0056701773630928876","24:660","0.0091552734375","Yes"
"35","390.95750914676756","104.5575671608243","4.763979416177967","-0.3105940547290412","0.06982421875","0.042724609375","0.096923828125","1500","0.00021071854869801","60","0","0.00021071854869801","0.00021071854869801","47:0.01009952307905057","47:660","0.06982421875","Yes"
"36","328.1033842292107","196.18433062159065","4.561423595701262","-0.32032756910701254","0.02783203125","0.02294921875","0.03369140625","1500","0.00016591544318745043","60","0","0.00016591544318745043","0.00016591544318745043","","","0.02783203125","Yes"
"37","124.4168071730495","42.789843664426236","4.956467542390259","-0.30739515329904354","0.0367431640625","0.020751953125","0.052734375","1500","0.0007574803008260305","60","0","0.0007574803008260305","0.0007574803008260305","52:0.07775581517653599;38:0.008808864452492404","52:660;38:660","0.0367431640625","Yes"
"38","296.8062532109213","166.44068986854379","4.7112263274447015","-0.3116279478812238","0.0272216796875","0.029296875","0.025146484375","1500","0.00026192427330589985","60","0","0.00026192427330589985","0.00026192427330589985","","","0.0272216796875","Yes"
"39","161.27537472230532","46.51709512194558","4.648166358785788","-0.312155986798199","0.0347900390625","0.052001953125","0.017578125","1500","0.0005472143165150251","60","0","0.0005472143165150251","0.0005472143165150251","38:0.013886279424440012;40:0.006650990978037397","38:660;40:660","0.0347900390625","Yes"
"40","233.3266454880007","167.59211959854812","4.816783943650128","-0.31014676240726335","0.0228271484375","0.021240234375","0.0244140625","1500","0.00020421880622466715","60","0","0.00020421880622466715","0.00020421880622466715","41:0.021162860143721846","41:660","0.0228271484375","Yes"
"41","145.88761223730035","10.705888494336866","4.768478699795801","-0.2887806067242229","0.049072265625","0.056884765625","0.041259765625","1500","0.001625155657781776","60","0","0.001625155657781776","0.001625155657781776","42:0.01754018629978335","42:660","0.049072265625","Yes"
"42","230.58751785237496","130.36415052165103","4.855056446878968","-0.30893259534444345","0.01318359375","0.009521484375","0.016845703125","1500","0.0001706538632341602","60","0","0.0001706538632341602","0.0001706538632341602","","","0.01318359375","Yes"
