"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"23","126.46692879440444","147.60219787475768","0.008056640625","0.013671875","0.00244140625","1560","0.00018126006716682937","24","0.00018126006716682937","0","0.00018126006716682937","0.00018126006716682937","22:68;24:68;16:68","22:0.0015235002620689886;24:0.016662679861619595;16:0.0036058012361459835","22:0.0020614054657392966;24:0.010170712463430931;16:0.0035355936846827585","0.008056640625","Yes"
"24","99.7003095698038","115.4385131893268","0.0181884765625","0.02490234375","0.011474609375","1560","0.0027222373377423148","24","0.0027222373377423148","0","0.0027222373377423148","0.0027222373377423148","23:68;25:68","23:0.016662679861619595;25:0.047830795699864925","23:0.010170712463430931;25:0.031876002208179516","0.0181884765625","Yes"
"25","183.78951755389525","131.51013495538442","0.01953125","0.02294921875","0.01611328125","1560","0.00016406925659719274","24","0.00016406925659719274","0","0.00016406925659719274","0.00016406925659719274","24:68;26:68;37:68","24:0.047830795699864925;26:0.0021631242451748967;37:0.002051385753658347","24:0.031876002208179516;26:0.0017297374973411495;37:0.0019973289288011398","0.01953125","Yes"
"26","115.1393813520299","98.02708584021809","0.014892578125","0.014892578125","0.014892578125","1560","0.0002283882507235021","24","0.0002283882507235021","0","0.0002283882507235021","0.0002283882507235021","25:68;27:68","25:0.0021631242451748967;27:0.02933686164595073","25:0.0017297374973411495;27:0.029243666089776382","0.014892578125","Yes"
"27","128.41651517007998","126.86063967077446","0.017578125","0.01904296875","0.0087890625","1560","0.004993090886874547","24","0.004993090886874547","0","0.004993090886874547","0.004993090886874547","26:68;28:68;17:68","26:0.02933686164595073;17:0.03063670839719948","26:0.029243666089776382;17:0.042587873995225844","0.017578125","Yes"
"28","117.3826912166629","127.19679299603689","0.0103759765625","0.01220703125","0.008544921875","1560","0.00027203828782327894","24","0.00027203828782327894","0","0.00027203828782327894","0.00027203828782327894","27:68;29:68","29:0.0038138982186676773","29:0.0024118019287431847","0.0103759765625","Yes"
"29","112.60417301947552","41.38440141855024","0.012451171875","0.018798828125","0.006103515625","1560","0.00024066020277346793","24","0.00024066020277346793","0","0.00024066020277346793","0.00024066020277346793","38:68;28:68;30:68","38:0.001867290810171035;28:0.0038138982186676773;30:0.0024573156848835265","38:0.002413885804614546;28:0.0024118019287431847;30:0.002727356264477815","0.012451171875","Yes"
"30","93.30831856423444","72.63105550421113","0.0086669921875","0.01123046875","0.006103515625","1560","0.00029623748365554457","24","0.00029623748365554457","0","0.00029623748365554457","0.00029623748365554457","31:68;29:68","31:0.0029750772534107572;29:0.0024573156848835265","31:0.0025868840221285883;29:0.002727356264477815","0.0086669921875","Yes"
"31","67.42910733770731","32.91611577788114","0.0128173828125","0.015869140625","0.009765625","1560","0.0005765852330935103","24","0.0005765852330935103","0","0.0005765852330935103","0.0005765852330935103","30:68;32:68;18:68","30:0.0029750772534107572;32:0.0313366688142066;18:0.002870146851837091","30:0.0025868840221285883;32:0.006918511047022291;18:0.0022666240635263457","0.0128173828125","Yes"
"32","138.57358283130137","163.4550134571815","0.029541015625","0.03271484375","0.0263671875","1560","0.00017820234773298246","24","0.00017820234773298246","0","0.00017820234773298246","0.00017820234773298246","31:68;33:68","31:0.0313366688142066","31:0.006918511047022291","0.029541015625","Yes"
"33","105.16585213428257","113.84915275646685","0.0194091796875","0.02197265625","0.016845703125","1560","0.00023132551115688646","24","0.00023132551115688646","0","0.00023132551115688646","0.00023132551115688646","39:68;32:68;34:68","39:0.0019058288216247388;34:0.0025676092808417095","39:0.001913376232983044;34:0.0028049031651394274","0.0194091796875","Yes"
"34","111.72490488862873","67.17858300301575","0.01123046875","0.013916015625","0.008544921875","1560","0.00048266166728708085","24","0.00048266166728708085","0","0.00048266166728708085","0.00048266166728708085","33:68;35:68","33:0.0025676092808417095;35:0.0018243550776130546","33:0.0028049031651394274;35:0.0021534572202085434","0.01123046875","Yes"
