"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"64","154.05213508773198","79.44184775687657","0.0062255859375","0.0087890625","0.003662109375","2584","0.0005289702229971597","36","0.0005289702229971597","0","0.0005289702229971597","0.0005289702229971597","65:0.002254284005296342;63:0.012503538158514127","65:68;63:68","65:0.00201228064885578;63:0.002285418406883538","0.0062255859375","Yes"
"65","267.1583850442774","55.066516489087036","0.0186767578125","0.0283203125","0.009033203125","2584","0.0002565980503469535","36","0.0002565980503469535","0","0.0002565980503469535","0.0002565980503469535","64:0.002254284005296342;66:0.002665190052000277;77:0.002054696890416291","64:68;66:68;77:68","64:0.00201228064885578;66:0.0016039207900211405;77:0.0018100043676944066","0.0186767578125","Yes"
"66","149.47985817825918","114.29942572960864","0.0074462890625","0.009521484375","0.00537109375","2584","0.0005170161938875434","36","0.0005170161938875434","0","0.0005170161938875434","0.0005170161938875434","65:0.002665190052000277;67:0.002511941935273626","65:68;67:68","65:0.0016039207900211405;67:0.0017127033281920945","0.0074462890625","Yes"
"67","307.2634571397262","92.45407166898103","0.027099609375","0.052490234375","0.001708984375","2584","0.001772359831154713","36","0.001772359831154713","0","0.001772359831154713","0.001772359831154713","68:0.003635115055986654;57:0.003762321807417396;66:0.002511941935273626","68:68;57:68;66:68","68:0.0032420345352077995;57:0.0023610274668080244;66:0.0017127033281920945","0.027099609375","Yes"
"68","105.54086494817945","31.396970357264532","0.008544921875","0.011474609375","0.005615234375","2584","0.00048762023391304754","36","0.00048762023391304754","0","0.00048762023391304754","0.00048762023391304754","67:0.003635115055986654;69:0.0030826445294059035","67:68;69:68","67:0.0032420345352077995;69:0.0028384083825423734","0.008544921875","Yes"
"69","173.57728829308286","55.25411757104056","0.0296630859375","0.02880859375","0.030517578125","2584","0.0002662028046914973","36","0.0002662028046914973","0","0.0002662028046914973","0.0002662028046914973","78:0.0023084184734754043;68:0.0030826445294059035;70:0.0023802435238093056","78:68;68:68;70:80","78:0.002412683346106115;68:0.0028384083825423734;70:0.003202167400666339","0.0296630859375","Yes"
"70","175.42144744838592","20.69591308414621","0.010986328125","0.016845703125","0.005126953125","2584","0.0007673988460285059","36","0.0007673988460285059","0","0.0007673988460285059","0.0007673988460285059","69:0.0023802435238093056;71:0.0024014522456170806","69:80;71:68","69:0.003202167400666339;71:0.0027904777036302786","0.010986328125","Yes"
"71","158.7204510218563","44.49955567744726","0.0050048828125","0.009765625","0.000244140625","2584","0.00020793051656892996","36","0.00020793051656892996","0","0.00020793051656892996","0.00020793051656892996","72:0.0027211453974916866;58:0.001896135641184099;70:0.0024014522456170806","72:68;58:68;70:68","72:0.0029611625431624766;58:0.005202534329548147;70:0.0027904777036302786","0.0050048828125","Yes"
"72","157.10283721048827","24.390502336723745","0.01806640625","0.03369140625","0.00244140625","2584","0.0007163649438825809","36","0.0007163649438825809","0","0.0007163649438825809","0.0007163649438825809","73:0.003540635434224615;71:0.0027211453974916866","73:68;71:68","73:0.004369328476317991;71:0.0029611625431624766","0.01806640625","Yes"
"73","275.0176373909777","148.32694787227274","0.098388671875","0.06689453125","0.1298828125","2584","0.0004570354954499862","36","0.0004570354954499862","0","0.0004570354954499862","0.0004570354954499862","72:0.003540635434224615;74:0.0037155819204880702;79:0.0035645057760610166","72:68;74:68;79:68","72:0.004369328476317991;74:0.0032282590696468827;79:0.0024072974481204323","0.098388671875","Yes"
