"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"66","270.81688826566733","258.44959173096004","0.00244140625","0.003173828125","0.001708984375","2584","0.00026157138345127344","32","0.00026157138345127344","0","0.00026157138345127344","0.00026157138345127344","65:0.0012724552497301034;67:0.0010850891979652943","65:88;67:88","65:0.0011883719820675875;67:0.0008138918016660779","0.00244140625","0.002197265625","Yes"
"67","290.1472222748021","228.68507601067242","0.0059814453125","0.006591796875","0.00537109375","2584","0.00011324075162285112","32","0.00011324075162285112","0","0.00011324075162285112","0.00011324075162285112","68:0.0015669522815791592;57:0.0036465130470179075;66:0.0010850891979652943","68:88;57:88;66:88","68:0.001267815071867573;57:0.0029593469928690386;66:0.0008138918016660779","0.0059814453125","0.00537109375","Yes"
"68","280.63305977518274","154.73576862976608","0.0028076171875","0.00390625","0.001708984375","2584","0.00024505161417987713","32","0.00024505161417987713","0","0.00024505161417987713","0.00024505161417987713","67:0.0015669522815791592;69:0.0011682454213706173","67:88;69:88","67:0.001267815071867573;69:0.001211402919028881","0.0028076171875","0.00244140625","Yes"
"69","270.7994568634041","158.31821645459456","0.0147705078125","0.01025390625","0.019287109375","2584","0.00018207142362820116","32","0.00018207142362820116","0","0.00018207142362820116","0.00018207142362820116","78:0.003239978633823415;68:0.0011682454213706173;70:0.001620189773330838","78:88;68:88;70:88","78:0.0014405558194467427;68:0.001211402919028881;70:0.0014195293666088848","0.0147705078125","0.009033203125","Yes"
"70","130.39069857432062","38.076543705806095","0.0040283203125","0.0068359375","0.001220703125","2584","0.0004547174042057797","32","0.0004547174042057797","0","0.0004547174042057797","0.0004547174042057797","69:0.001620189773330838;71:0.0028826042467508806","69:88;71:88","69:0.0014195293666088848;71:0.00258808565035043","0.0040283203125","0.003173828125","Yes"
"71","350.2559148163349","189.348944981363","0.00634765625","0.00927734375","0.00341796875","2584","0.00021823671278374","32","0.00021823671278374","0","0.00021823671278374","0.00021823671278374","72:0.0013089505560339443;58:0.0011865663722268605;70:0.0028826042467508806","72:88;58:88;70:88","72:0.0018593757834224345;58:0.0012348803553390852;70:0.00258808565035043","0.00634765625","0.003662109375","Yes"
"72","288.9904431050458","415.13255992047095","0.00537109375","0.0068359375","0.00390625","2584","0.00008232207303580759","32","0.00008232207303580759","0","0.00008232207303580759","0.00008232207303580759","73:0.0009751466670073483;71:0.0013089505560339443","73:88;71:88","73:0.0009042112888019149;71:0.0018593757834224345","0.00537109375","0.00439453125","Yes"
"73","335.66918451615567","337.803686867566","0.0028076171875","0.003662109375","0.001953125","2584","0.00016461233674910008","32","0.00016461233674910008","0","0.00016461233674910008","0.00016461233674910008","72:0.0009751466670073483;74:0.0013168011416661851;79:0.0010560458047422228","72:88;74:88;79:88","72:0.0009042112888019149;74:0.002002272048056808;79:0.0030378914301675275","0.0028076171875","0.002197265625","Yes"
"74","204.44692798095096","296.3696033519461","0.001953125","0.00341796875","0.00048828125","2584","0.00022841999404661368","32","0.00022841999404661368","0","0.00022841999404661368","0.00022841999404661368","73:0.0013168011416661851;75:0.001134897228426357","73:88;75:88","73:0.002002272048056808;75:0.0011198939469985458","0.001953125","0.000732421875","Yes"
"75","181.38170885532284","139.27970399420292","0.00341796875","0.00146484375","0.00537109375","2584","0.00011037543733998542","32","0.00011037543733998542","0","0.00011037543733998542","0.00011037543733998542","59:0.0012612181780059795;74:0.001134897228426357","59:88;74:88","59:0.0009724171165154671;74:0.0011198939469985458","0.00341796875","0.001953125","Yes"
"76","238.16738966929765","305.4037191309987","0.00390625","0.004150390625","0.003662109375","2584","0.0001984992595190615","32","0.0001984992595190615","0","0.0001984992595190615","0.0001984992595190615","81:0.0008477270467055764;61:0.0014859926429812986","81:88;61:88","81:0.0009593010454808648;61:0.0018593218777817333","0.00390625","0.028564453125","Yes"
"77","183.0440913807779","264.50445512514744","0.001708984375","0.003173828125","0.000244140625","2584","0.00010565468535461838","32","0.00010565468535461838","0","0.00010565468535461838","0.00010565468535461838","85:0.001031154418763669;65:0.0014496282732883448","85:88;65:88","85:0.0020285988359557694;65:0.0037116851396394868","0.001708984375","0.00244140625","Yes"
"78","288.65132462212426","209.87824487877302","0.003662109375","0.0087890625","0.003173828125","2584","0.0002510681828490122","32","0.0002510681828490122","0","0.0002510681828490122","0.0002510681828490122","69:0.003239978633823415;89:0.007491529236397204","69:88;89:88","69:0.0014405558194467427;89:0.008030079513266786","0.003662109375","0.00146484375","Yes"
"79","296.1128605428605","435.00035894312185","0.001708984375","0.00244140625","0.0009765625","2584","0.0001781137374161736","32","0.0001781137374161736","0","0.0001781137374161736","0.0001781137374161736","93:0.0020521099007114185;73:0.0010560458047422228","93:88;73:88","93:0.003970275290874875;73:0.0030378914301675275","0.001708984375","0.004638671875","Yes"
"80","262.2739198175687","343.5941764527975","0.0064697265625","0.010986328125","0.001953125","2584","0.00016745051885877545","32","0.00016745051885877545","0","0.00016745051885877545","0.00016745051885877545","81:0.0010284234696516514","81:88","81:0.0008639277664625467","0.0064697265625","0.004150390625","Yes"
