"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"73","274.2811474447704","250.97104931348355","0.0047607421875","0.006591796875","0.0029296875","2200","0.00023876922074312783","32","0.00023876922074312783","0","0.00023876922074312783","0.00023876922074312783","72:0.0016003221076011653;74:0.0012134605631571316;79:0.0012982985843735528","72:68;74:68;79:68","72:0.0020457474236923456;74:0.0019574248158431007;79:0.001123718930186729","0.0047607421875","0.0029296875","Yes"
"74","269.13814610319264","256.88016403087823","0.008056640625","0.0078125","0.00830078125","2200","0.00016495732016890197","32","0.00016495732016890197","0","0.00016495732016890197","0.00016495732016890197","73:0.0012134605631571316;75:0.0009129661774138209","73:68;75:68","73:0.0019574248158431007;75:0.0008684534199527583","0.008056640625","0.005859375","Yes"
"75","360.7327186138386","451.5587782479915","0.00341796875","0.005126953125","0.001708984375","2200","0.00012687329999682946","32","0.00012687329999682946","0","0.00012687329999682946","0.00012687329999682946","59:0.0019134935798825747;74:0.0009129661774138209","59:68;74:68","59:0.0012498710670352242;74:0.0008684534199527583","0.00341796875","0.002685546875","Yes"
"76","292.6098683907407","390.4382648924","0.0048828125","0.004150390625","0.005615234375","2200","0.0001601370364634238","32","0.0001601370364634238","0","0.0001601370364634238","0.0001601370364634238","81:0.0027233422748355607;61:0.0024035866697619257","81:68;61:68","81:0.0012097166825451033;61:0.0018204808174656084","0.0048828125","0.00537109375","Yes"
"77","239.88890122305068","289.44619085147383","0.0079345703125","0.009033203125","0.0068359375","2200","0.00019025589897380855","32","0.00019025589897380855","0","0.00019025589897380855","0.00019025589897380855","65:0.0013252958717070717","85:68;65:68","65:0.0009061627562090835","0.0079345703125","0.003173828125","Yes"
"78","278.7974797980769","476.62767840267554","0.01513671875","0.00439453125","0.00439453125","2200","0.00010541568347788995","32","0.00010541568347788995","0","0.00010541568347788995","0.00010541568347788995","69:0.0009166192288921349;89:0.00100192882244024","69:68;89:68","69:0.001121817041008416;89:0.0014503178446585996","0.01513671875","0.009521484375","Yes"
"79","280.1561871765661","283.80087373569853","0.004638671875","0.00537109375","0.00390625","2200","0.00008797031633925546","32","0.00008797031633925546","0","0.00008797031633925546","0.00008797031633925546","93:0.0010240419933568723;73:0.0012982985843735528","93:68;73:68","93:0.001044305311393795;73:0.001123718930186729","0.004638671875","0.0029296875","Yes"
"80","269.96667824111034","512.4893517108624","0.00244140625","0.003173828125","0.001708984375","2200","0.0001008093913061555","32","0.0001008093913061555","0","0.0001008093913061555","0.0001008093913061555","81:0.002582411831054121","81:68","81:0.0015327800587308371","0.00244140625","0.001708984375","Yes"
"81","325.6563648565398","448.24828864282995","0.00439453125","0.003173828125","0.005615234375","2200","0.00017678928087753353","32","0.00017678928087753353","0","0.00017678928087753353","0.00017678928087753353","80:0.002582411831054121;82:0.0010668112784923411;76:0.0027233422748355607","80:68;82:68;76:68","80:0.0015327800587308371;82:0.0007892079050749456;76:0.0012097166825451033","0.00439453125","0.003173828125","Yes"
"82","269.54219717689796","399.5383933719559","0.0050048828125","0.004638671875","0.00537109375","2200","0.00018036651223130674","32","0.00018036651223130674","0","0.00018036651223130674","0.00018036651223130674","81:0.0010668112784923411;83:0.0017937130269194967","81:68;83:68","81:0.0007892079050749456;83:0.001090100271400496","0.0050048828125","0.004150390625","Yes"
