"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"63","372.92772375785626","64.4932028176655","0.010009765625","0.0078125","0.01220703125","2280","0.0002405012525650298","32","0.0002405012525650298","0","0.0002405012525650298","0.0002405012525650298","56:0.001957936584575326;62:0.0018826979292979606;64:0.0023357318012172668","56:68;62:68;64:68","56:0.002428402848075051;62:0.0022545114246004805;64:0.0021462469652195615","0.010009765625","0.027587890625","Yes"
"64","217.48386078535782","138.26122477807934","0.0074462890625","0.0087890625","0.006103515625","2280","0.0005311247006798228","32","0.0005311247006798228","0","0.0005311247006798228","0.0005311247006798228","65:0.002430522725243439;63:0.0023357318012172668","65:68;63:68","65:0.0025187709206421494;63:0.0021462469652195615","0.0074462890625","0.003173828125","Yes"
"65","167.42175577215437","181.52062355571132","0.0123291015625","0.01904296875","0.005615234375","2280","0.0003525288556657662","32","0.0003525288556657662","0","0.0003525288556657662","0.0003525288556657662","64:0.002430522725243439;66:0.0019552991815630083;77:0.0014505907201732005","64:68;66:68;77:68","64:0.0025187709206421494;66:0.0017240944732234142;77:0.0017320395590096072","0.0123291015625","0.01123046875","Yes"
"66","112.12776354233493","136.29122494946458","0.00830078125","0.013916015625","0.002685546875","2280","0.00036135908460498524","32","0.00036135908460498524","0","0.00036135908460498524","0.00036135908460498524","65:0.0019552991815630083;67:0.0017513618549887533","65:68;67:68","65:0.0017240944732234142;67:0.0013524154532480182","0.00830078125","0.007080078125","Yes"
"67","349.5925618456576","304.3452387580276","0.0084228515625","0.005859375","0.010986328125","2280","0.00022925307725229897","32","0.00022925307725229897","0","0.00022925307725229897","0.00022925307725229897","68:0.001081724568449377;57:0.0017612101994315399;66:0.0017513618549887533","68:68;57:68;66:68","68:0.001549904100952959;57:0.0037822913345231524;66:0.0013524154532480182","0.0084228515625","0.005615234375","Yes"
"68","218.9181406378807","158.38435226927197","0.00732421875","0.0126953125","0.001953125","2280","0.0002076778992207458","32","0.0002076778992207458","0","0.0002076778992207458","0.0002076778992207458","67:0.001081724568449377;69:0.0016144290222573354","67:68;69:68","67:0.001549904100952959;69:0.0018903457849434868","0.00732421875","0.005859375","Yes"
"69","272.25222304093063","228.07835867956356","0.005859375","0.00537109375","0.00634765625","2280","0.0001770404548167471","32","0.0001770404548167471","0","0.0001770404548167471","0.0001770404548167471","78:0.0022851991444790554;68:0.0016144290222573354;70:0.0027199865198702378","78:68;68:68;70:68","78:0.0021737953263034626;68:0.0018903457849434868;70:0.0025723198545130888","0.005859375","0.010009765625","Yes"
"70","293.99107880480443","266.0023034809118","0.0255126953125","0.020263671875","0.03076171875","2280","0.00018434817213686946","32","0.00018434817213686946","0","0.00018434817213686946","0.00018434817213686946","69:0.0027199865198702378;71:0.0017009649158835904","69:68;71:68","69:0.0025723198545130888;71:0.0017624024340772981","0.0255126953125","0.044677734375","Yes"
"71","330.4110355013466","172.41226713313787","0.00732421875","0.006591796875","0.008056640625","2280","0.00014339995904802028","32","0.00014339995904802028","0","0.00014339995904802028","0.00014339995904802028","72:0.0014105198487035786;58:0.0012230725365463546;70:0.0017009649158835904","72:68;58:68;70:68","72:0.0012496486817869246;58:0.0012705713904050675;70:0.0017624024340772981","0.00732421875","0.008544921875","Yes"
"72","240.84030815361658","170.0634046139333","0.042236328125","0.077392578125","0.007080078125","2280","0.0001283232730546488","32","0.0001283232730546488","0","0.0001283232730546488","0.0001283232730546488","73:0.0016927752344448321;71:0.0014105198487035786","73:68;71:68","73:0.0010316433246838341;71:0.0012496486817869246","0.042236328125","0.01904296875","Yes"
"73","345.71009634287293","230.2818980423296","0.0338134765625","0.02587890625","0.041748046875","2280","0.00019249390782351354","32","0.00019249390782351354","0","0.00019249390782351354","0.00019249390782351354","72:0.0016927752344448321;74:0.0012021755556627378;79:0.0031038409686565405","72:68;74:68;79:68","72:0.0010316433246838341;74:0.0008947489082777038;79:0.0010564154300725659","0.0338134765625","0.031982421875","Yes"
"74","301.7171356016681","187.73605045998528","0.0103759765625","0.01025390625","0.010498046875","2280","0.0001874835412238708","32","0.0001874835412238708","0","0.0001874835412238708","0.0001874835412238708","73:0.0012021755556627378;75:0.0010040568604727795","73:68;75:68","73:0.0008947489082777038;75:0.0037582152530748203","0.0103759765625","0.0048828125","Yes"
"75","339.76192990327826","130.1205913890125","0.0152587890625","0.01171875","0.018798828125","2280","0.00015012696220520464","32","0.00015012696220520464","0","0.00015012696220520464","0.00015012696220520464","59:0.001117396023872036;74:0.0010040568604727795","59:68;74:68","59:0.0012679528277790009;74:0.0037582152530748203","0.0152587890625","0.04638671875","Yes"
"76","245.53150493976037","55.03110762434175","0.0107421875","0.01171875","0.009765625","2280","0.00035346232967940256","32","0.00035346232967940256","0","0.00035346232967940256","0.00035346232967940256","81:0.0031705492912767475;61:0.0017778019877572881","81:68;61:68","81:0.00291001062217755;61:0.0020548351722081415","0.0107421875","0.010498046875","Yes"
"77","269.4270421039597","238.2998475398145","0.00537109375","0.005615234375","0.005126953125","2280","0.00019417523868874972","32","0.00019417523868874972","0","0.00019417523868874972","0.00019417523868874972","85:0.004990870365424782;65:0.0014505907201732005","85:68;65:68","85:0.003878362544211228;65:0.0017320395590096072","0.00537109375","0.0107421875","Yes"
