"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"31","333.1358223463879","351.7781853616242","0.0260009765625","0.032470703125","0.01953125","2400","0.00024813145589549037","32","0.00024813145589549037","0","0.00024813145589549037","0.00024813145589549037","30:0.0015364143989197998;32:0.0009848494022777488;21:0.001586948832349222;41:0.001602911216517594","30:88;32:68;21:68;41:68","0.0260009765625","Yes"
"32","247.1146475713234","239.97821727766487","0.03125","0.03759765625","0.02490234375","2400","0.0003094492437260221","32","0.0003094492437260221","0","0.0003094492437260221","0.0003094492437260221","22:0.0026579698160533183;31:0.0009848494022777488;33:0.006068630322284385;42:0.004980131940960475","22:68;31:68;33:68;42:68","0.03125","Yes"
"33","299.50212788430986","315.00454251225875","0.021484375","0.032958984375","0.010009765625","2400","0.0001495042346151412","32","0.0001495042346151412","0","0.0001495042346151412","0.0001495042346151412","23:0.0015965410562231719;32:0.006068630322284385;34:0.0024587209541386545;43:0.006410897425161127","23:68;32:68;34:108;43:68","0.021484375","Yes"
"34","248.0029982589335","242.44173703555177","0.013427734375","0.0205078125","0.00634765625","2400","0.00036370182779896","32","0.00036370182779896","0","0.00036370182779896","0.00036370182779896","24:0.0017229784302390527;33:0.0024587209541386545;35:0.018731338788428586","24:68;33:108;35:68;44:68","0.013427734375","Yes"
"35","341.9726669991784","201.57291545221446","0.0325927734375","0.0380859375","0.027099609375","2400","0.0001457322822466152","32","0.0001457322822466152","0","0.0001457322822466152","0.0001457322822466152","25:0.0017233855171784607;36:0.0014610777801286334;45:0.0020376734085562898;34:0.018731338788428586","25:68;36:68;45:68;34:68","0.0325927734375","Yes"
"36","314.9539637318699","194.75673308245294","0.045654296875","0.04345703125","0.0478515625","2400","0.00013679275113246005","32","0.00013679275113246005","0","0.00013679275113246005","0.00013679275113246005","46:0.0032441034161600213;26:0.002588211734083301;35:0.0014610777801286334;37:0.003866988272709565","46:68;26:68;35:68;37:68","0.045654296875","Yes"
"37","178.61437824669082","116.75540391219195","0.02685546875","0.03125","0.010986328125","2400","0.0006310187340008081","32","0.0006310187340008081","0","0.0006310187340008081","0.0006310187340008081","27:0.0032348983799811437;36:0.003866988272709565;38:0.004254191811826763;47:0.0030654862965359686","27:108;36:68;38:68;47:88","0.02685546875","Yes"
"38","309.87939962052843","238.09753779698877","0.0892333984375","0.02490234375","0.153564453125","2400","0.00046534416889492167","32","0.00046534416889492167","0","0.00046534416889492167","0.00046534416889492167","39:0.0038119971885745008;48:0.004281525888063714;37:0.004254191811826763","39:68;48:68;28:108;37:68","0.0892333984375","Yes"
"39","406.08215916166375","215.90817240807016","0.0133056640625","0.01513671875","0.011474609375","2400","0.00018897735815567065","32","0.00018897735815567065","0","0.00018897735815567065","0.00018897735815567065","38:0.0038119971885745008;29:0.01383494133912555;49:0.025808423681952297","38:68;29:88;49:108","0.0133056640625","Yes"
"40","502.5762832071236","369.8488955352326","0.0252685546875","0.028076171875","0.0224609375","2400","0.00014885694098659826","32","0.00014885694098659826","0","0.00014885694098659826","0.00014885694098659826","41:0.001641015670748841;50:0.0024163450976712464;30:0.0021895918174161255","41:68;50:68;30:68","0.0252685546875","Yes"
"41","185.556834570818","241.9473587748858","0.0140380859375","0.014892578125","0.01318359375","2400","0.00017573154970091197","32","0.00017573154970091197","0","0.00017573154970091197","0.00017573154970091197","40:0.001641015670748841;42:0.004823499259031971;51:0.0012795802323348482;31:0.001602911216517594","40:68;42:68;51:68;31:68","0.0140380859375","Yes"
"42","424.9696201522758","531.7321344485263","0.0244140625","0.024658203125","0.024169921875","2400","0.00011592694194851432","32","0.00011592694194851432","0","0.00011592694194851432","0.00011592694194851432","41:0.004823499259031971;52:0.001278687289046454;32:0.004980131940960475","41:68;43:68;52:68;32:68","0.0244140625","Yes"
"43","197.95968208768323","114.70258117218518","0.0394287109375","0.051025390625","0.02783203125","2400","0.0004196397041035605","32","0.0004196397041035605","0","0.0004196397041035605","0.0004196397041035605","44:0.08578918210508608;33:0.006410897425161127;53:0.003568819868098372","42:68;44:108;33:68;53:68","0.0394287109375","Yes"
"44","635.0514593213452","262.2725164829297","0.0928955078125","0.146240234375","0.03955078125","2400","0.00016862578803872202","32","0.00016862578803872202","0","0.00016862578803872202","0.00016862578803872202","45:0.003905254020820481;43:0.08578918210508608","45:148;54:88;43:108;34:68","0.0928955078125","Yes"
"45","431.38429326011146","107.16337981119625","0.032958984375","0.029541015625","0.036376953125","2400","0.0002573709305255372","32","0.0002573709305255372","0","0.0002573709305255372","0.0002573709305255372","44:0.003905254020820481;46:0.002695923783812282;55:0.0021641263980101966;35:0.0020376734085562898","44:148;46:68;55:68;35:68","0.032958984375","Yes"
"46","242.36175263605912","52.59928094127827","0.0189208984375","0.024658203125","0.01318359375","2400","0.00041839188260701796","32","0.00041839188260701796","0","0.00041839188260701796","0.00041839188260701796","36:0.0032441034161600213;45:0.002695923783812282;47:0.004019330427412565;56:0.004200092944218442","36:68;45:68;47:108;56:68","0.0189208984375","Yes"
"47","309.63980290764925","77.9913130873645","0.0181884765625","0.02392578125","0.012451171875","2400","0.000330270817221438","32","0.000330270817221438","0","0.000330270817221438","0.000330270817221438","48:0.00234084398300341;57:0.007919491428193176;46:0.004019330427412565;37:0.0030654862965359686","48:68;57:68;46:108;37:88","0.0181884765625","Yes"
