"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"42","235.98179775162518","175.29429171566733","0.013671875","0.020263671875","0.007080078125","2400","0.00025812599354451424","32","0.00025812599354451424","0","0.00025812599354451424","0.00025812599354451424","41:0.0022897984865883902;43:0.00273790825283457;52:0.004416103547105227;32:0.002913499254101226","41:128;43:128;52:128;32:188","0.013671875","Yes"
"43","296.6876874112357","303.9142945745479","0.010009765625","0.009033203125","0.010986328125","2400","0.00024655109135934","32","0.00024655109135934","0","0.00024655109135934","0.00024655109135934","42:0.00273790825283457;44:0.0021098700930612946;33:0.002423709906928695;53:0.001980893046682919","42:128;44:188;33:248;53:128","0.010009765625","Yes"
"44","404.9601464568305","243.5736523423744","0.013916015625","0.02001953125","0.0078125","2400","0.00031351503951499116","32","0.00031351503951499116","0","0.00031351503951499116","0.00031351503951499116","45:0.009147780800886518;54:0.0028511045966915505;43:0.0021098700930612946;34:0.0024316734692123865","45:508;54:128;43:188;34:128","0.013916015625","Yes"
"45","431.3230463622898","242.7882197968824","0.023681640625","0.02978515625","0.017578125","2400","0.00022902134359882326","32","0.00022902134359882326","0","0.00022902134359882326","0.00022902134359882326","44:0.009147780800886518;46:0.0026144151862062537;55:0.002490064159028915;35:0.004790234332195054","44:508;46:128;55:128;35:148","0.023681640625","Yes"
"46","346.9448849208342","197.87225681640348","0.0140380859375","0.01708984375","0.010986328125","2400","0.0003052855826873748","32","0.0003052855826873748","0","0.0003052855826873748","0.0003052855826873748","36:0.0032670812636843016;45:0.0026144151862062537;47:0.0031647981995922836;56:0.0034754278223539936","36:148;45:128;47:208;56:188","0.0140380859375","Yes"
"47","293.969507504875","207.77346699033905","0.0224609375","0.0244140625","0.0205078125","2400","0.00018516175215501463","32","0.00018516175215501463","0","0.00018516175215501463","0.00018516175215501463","48:0.03304123433823625;57:0.0025067797577313644;46:0.0031647981995922836;37:0.0035575488672922873","48:128;57:168;46:208;37:148","0.0224609375","Yes"
"48","312.5471606674737","340.2907425831191","0.068359375","0.093017578125","0.043701171875","2400","0.00126957890203387","32","0.00126957890203387","0","0.00126957890203387","0.00126957890203387","47:0.03304123433823625;49:0.018965389746918665;38:0.09347786499006172;58:0.07551414356549904","47:128;49:128;38:188;58:248","0.068359375","Yes"
"49","397.7686639211655","336.85509166384674","0.0245361328125","0.029296875","0.019775390625","2400","0.0002131091525701346","32","0.0002131091525701346","0","0.0002131091525701346","0.0002131091525701346","48:0.018965389746918665;59:0.0012519893244564428;39:0.0016416150961468257","48:128;59:128;39:208","0.0245361328125","Yes"
"50","367.25428587062623","328.8777893727717","0.0103759765625","0.011962890625","0.0087890625","2400","0.00014030803919016943","32","0.00014030803919016943","0","0.00014030803919016943","0.00014030803919016943","40:0.0033668671427566355;51:0.0019625368176050817;60:0.0025344337470349365","40:128;51:128;60:68","0.0103759765625","Yes"
"51","331.51512693111823","220.0742908668247","0.041015625","0.05029296875","0.03173828125","2400","0.0002116964058558142","32","0.0002116964058558142","0","0.0002116964058558142","0.0002116964058558142","41:0.002226497684941403;50:0.0019625368176050817;52:0.004628256868250996;61:0.1194204601983087","41:128;50:128;52:128;61:128","0.041015625","Yes"
